epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8134,0.62156,2.573,1.21004,0.00333,1,0.31123,0.12855,0.57514,3.20601,1.02018,0,0,0
2,24.0903,0.54267,2.57366,1.14522,0.00333,1,0.31417,0.13749,0.55843,3.21622,1.01232,1.9802e-05,1.9802e-05,1.9802e-05
3,35.9658,0.47623,2.47635,1.11192,0.00333,1,0.35568,0.197,0.54904,3.20686,1.00156,3.9208e-05,3.9208e-05,3.9208e-05
4,46.1833,0.79167,2.7872,1.43851,0.00333,1,0.29833,0.19821,0.49103,3.13901,0.97971,5.8218e-05,5.8218e-05,5.8218e-05
5,56.4317,0.46062,2.49783,1.11146,0.00333,1,0.52385,0.42744,0.47013,3.14478,0.96033,7.6832e-05,7.6832e-05,7.6832e-05
6,68.242,0.36706,2.33667,1.01078,0.00333,1,0.76286,0.63783,0.46386,3.13307,0.97132,9.505e-05,9.505e-05,9.505e-05
7,79.7815,0.35789,2.32003,0.99324,0.00333,1,0.895,0.72557,0.47396,3.14453,0.97122,0.000112872,0.000112872,0.000112872
8,91.7833,0.50229,2.37757,1.09378,0.00333,1,0.945,0.79056,0.43884,3.13986,0.92335,0.000130298,0.000130298,0.000130298
9,103.78,0.51403,2.32581,1.19528,0.00333,1,0.995,0.83792,0.41228,3.12815,0.91027,0.000147328,0.000147328,0.000147328
10,112.056,0.47443,2.2751,1.09892,0.00333,1,0.995,0.81918,0.41694,3.11826,0.9094,0.000163962,0.000163962,0.000163962
11,122.387,0.47142,2.11568,1.01891,0.00333,1,0.995,0.83881,0.36904,3.10414,0.87653,0.0001802,0.0001802,0.0001802
12,130.763,0.34639,2.04057,0.96971,0.00333,1,0.995,0.80738,0.40083,3.10123,0.88276,0.000196042,0.000196042,0.000196042
13,142.126,0.34694,1.91983,0.97569,0.00333,1,0.995,0.78288,0.44464,3.12348,0.93325,0.000211488,0.000211488,0.000211488
14,152.592,0.39673,1.96031,0.97232,0.00333,1,0.995,0.74769,0.58428,3.16336,0.98763,0.000226538,0.000226538,0.000226538
15,161.877,0.43215,1.86199,0.9911,0.00333,1,0.995,0.72997,0.64284,3.17051,1.06852,0.000241192,0.000241192,0.000241192
16,172.86,0.51466,1.81116,1.0768,0.00333,1,0.895,0.73231,0.60019,3.16485,1.11466,0.00025545,0.00025545,0.00025545
17,183.819,0.47703,1.84745,1.01243,0.00333,1,0.895,0.72241,0.66539,3.16983,1.1773,0.000269312,0.000269312,0.000269312
18,197.57,0.44963,1.62058,1.05487,0.00333,1,0.895,0.72241,0.66539,3.16983,1.1773,0.000282778,0.000282778,0.000282778
19,205.337,0.33362,1.61104,0.95077,0.00333,1,0.78786,0.59866,0.59827,3.19143,1.19927,0.000295848,0.000295848,0.000295848
20,257.045,0.59334,1.67358,1.22548,0.00333,1,0.78786,0.59866,0.59827,3.19143,1.19927,0.000308522,0.000308522,0.000308522
21,265.999,0.31323,1.4797,0.91719,0.00333,1,0.745,0.6094,0.59521,3.28039,1.13866,0.0003208,0.0003208,0.0003208
22,272.962,0.52955,1.53047,1.01265,0.00333,1,0.745,0.6094,0.59521,3.28039,1.13866,0.000332682,0.000332682,0.000332682
23,280.606,0.41882,1.53217,0.94679,0.00333,1,0.745,0.52062,0.5843,3.26419,1.1833,0.000344168,0.000344168,0.000344168
24,288.799,0.44521,1.47842,1.05615,0.00333,1,0.745,0.52062,0.5843,3.26419,1.1833,0.000355258,0.000355258,0.000355258
25,297.014,0.47419,1.39067,0.96883,0.00333,1,0.61167,0.45231,0.71016,3.24756,1.15207,0.000365952,0.000365952,0.000365952
26,305.041,0.26413,1.30861,0.87966,0.00333,1,0.61167,0.45231,0.71016,3.24756,1.15207,0.00037625,0.00037625,0.00037625
27,312.552,0.5458,1.54555,1.16045,0.00333,1,0.57714,0.37723,0.79614,3.28476,1.21327,0.000386152,0.000386152,0.000386152
28,321.381,0.37441,1.25293,0.92876,0.00333,1,0.57714,0.37723,0.79614,3.28476,1.21327,0.000395658,0.000395658,0.000395658
29,329.398,0.41533,1.31804,0.97334,0.00333,1,0.545,0.36771,0.78372,3.3496,1.24561,0.000404768,0.000404768,0.000404768
30,337.893,0.50495,1.3571,1.02145,0.00333,1,0.545,0.36771,0.78372,3.3496,1.24561,0.000413482,0.000413482,0.000413482
31,346.082,0.43662,1.27401,0.9558,0.00333,1,0.59222,0.46959,0.66669,3.23592,1.14418,0.0004218,0.0004218,0.0004218
32,354.86,0.49246,1.2456,1.11351,0.00333,1,0.59222,0.46959,0.66669,3.23592,1.14418,0.000429722,0.000429722,0.000429722
33,362.607,0.37552,1.16167,0.907,0.00647,1,0.745,0.53389,0.6361,3.13997,1.08612,0.000437248,0.000437248,0.000437248
34,370.449,0.33901,1.09213,0.89556,0.00647,1,0.745,0.53389,0.6361,3.13997,1.08612,0.000444378,0.000444378,0.000444378
35,379.69,0.46251,1.10081,0.95687,0.5278,1,0.84917,0.69437,0.54163,3.0132,1.00937,0.000451112,0.000451112,0.000451112
36,388.407,0.37655,1.008,0.91046,0.5278,1,0.84917,0.69437,0.54163,3.0132,1.00937,0.00045745,0.00045745,0.00045745
37,397.809,0.34334,1.03922,0.90367,1,0.94955,0.995,0.82057,0.5701,2.8287,1.02736,0.000463392,0.000463392,0.000463392
38,407.662,0.3575,1.05078,0.94213,1,0.94955,0.995,0.82057,0.5701,2.8287,1.02736,0.000468938,0.000468938,0.000468938
39,417.841,0.36933,0.97308,0.94217,1,0.80812,0.995,0.92007,0.53253,2.62454,0.98936,0.000474088,0.000474088,0.000474088
40,468.071,0.39367,0.91483,0.93131,1,0.80812,0.995,0.92007,0.53253,2.62454,0.98936,0.000478842,0.000478842,0.000478842
41,476.235,0.40824,0.91857,0.88639,0.99963,1,0.995,0.92007,0.47092,2.48648,0.9371,0.0004832,0.0004832,0.0004832
42,483.374,0.40331,0.95131,0.94593,0.99963,1,0.995,0.92007,0.47092,2.48648,0.9371,0.000487162,0.000487162,0.000487162
43,492.514,0.39679,0.95668,0.95978,1,0.91862,0.995,0.87012,0.59514,2.38894,1.0385,0.000490728,0.000490728,0.000490728
44,499.981,0.40609,1.12485,1.03795,1,0.91862,0.995,0.87012,0.59514,2.38894,1.0385,0.000493898,0.000493898,0.000493898
45,508.586,0.44191,0.91869,0.9854,0.79135,0.95676,0.945,0.81011,0.7003,2.35497,1.14678,0.000496672,0.000496672,0.000496672
46,516.931,0.37752,0.93762,1.02668,0.79135,0.95676,0.945,0.81011,0.7003,2.35497,1.14678,0.00049905,0.00049905,0.00049905
47,524.504,0.44069,0.95748,0.93274,0.66382,0.98932,0.91167,0.78723,0.77693,2.30795,1.19075,0.000501032,0.000501032,0.000501032
48,533.779,0.41907,1.0114,0.97932,0.66382,0.98932,0.91167,0.78723,0.77693,2.30795,1.19075,0.000502618,0.000502618,0.000502618
49,541.728,0.51596,0.96345,1.14315,1,0.97883,0.995,0.83677,0.75279,2.1957,1.16588,0.000503808,0.000503808,0.000503808
50,550.321,0.45909,0.95246,0.98061,1,0.97883,0.995,0.83677,0.75279,2.1957,1.16588,0.000504602,0.000504602,0.000504602
51,557.979,0.40478,0.91599,0.96551,0.99221,0.75,0.945,0.68686,0.94373,2.45982,1.37113,0.000505,0.000505,0.000505
52,567.797,0.3207,0.86116,0.89779,0.99221,0.75,0.945,0.68686,0.94373,2.45982,1.37113,0.000505002,0.000505002,0.000505002
53,575.219,0.53988,1.25774,1.04626,0.99221,0.75,0.945,0.68686,0.94373,2.45982,1.37113,0.000504608,0.000504608,0.000504608
